code,planName,duration,country,netSales,netProfit,age,accident
3,12,0.03850092156461191,78,-29.0,9.57,81,0
3,12,0.03850092156461191,78,-29.0,9.57,71,0
6,16,0.013721073110792544,4,-49.5,29.7,32,0
6,16,0.012697112430882652,4,-39.6,23.76,32,0
6,16,0.01658816301454024,60,-19.8,11.88,41,0
9,25,0.013925865246774522,137,-121.0,42.35,44,0
6,16,0.013311488838828588,4,-108.9,65.34,29,0
6,16,0.012082736022936719,126,-19.8,11.88,44,0
6,16,0.03850092156461191,4,-99.0,59.4,37,0
9,8,0.00716772475936924,66,-26.0,9.1,118,0
9,8,0.0006143764079459349,78,-18.0,6.3,47,0
10,15,0.011263567479008805,95,-130.0,49.4,48,0
6,16,0.001433544951873848,78,-39.6,23.76,64,0
7,1,0.008396477575261109,141,-25.0,0.0,36,0
6,16,0.0016383370878558263,32,-19.8,11.88,53,0
6,16,0.010239606799098914,32,-79.2,47.52,43,0
6,16,0.002662297767765718,137,-29.7,17.82,58,0
9,8,0.0010239606799098914,78,-18.0,6.3,47,0
6,16,0.0032766741757116525,126,-69.3,41.58,37,0
2,9,0.0028670899037476962,116,46.15,11.54,44,0
2,9,0.0018431292238378044,116,17.55,4.39,25,0
2,9,0.0028670899037476962,116,94.0,23.5,34,1
2,17,0.03932009010853983,116,294.75,73.69,26,0
2,4,0.07495392176940405,116,389.0,97.25,30,0
6,16,0.006348556215441327,137,9.9,5.94,33,0
6,16,0.006143764079459348,137,9.9,5.94,33,0
6,16,0.031742781077206635,62,69.3,41.58,35,0
6,16,0.006143764079459348,136,19.8,11.88,31,0
6,16,0.011468359614990783,4,0.0,41.58,31,0
6,16,0.005324595535531436,4,89.1,53.46,33,0
7,1,0.002252713495801761,56,25.0,0.0,36,0
7,1,0.0028670899037476962,78,24.0,0.0,36,0
7,1,0.009625230391152978,78,20.0,0.0,36,0
7,1,0.007577309031333196,55,27.0,0.0,36,0
7,1,0.006143764079459348,126,20.0,0.0,44,0
7,1,0.005324595535531436,26,43.0,0.0,36,0
7,1,0.0020479213598197828,41,78.0,0.0,36,0
7,1,0.03788654515666598,56,20.0,0.0,36,0
7,1,0.007782101167315175,123,22.0,0.0,20,0
7,1,0.0010239606799098914,141,27.0,0.0,46,0
7,1,0.008191685439279131,116,41.0,0.0,36,0
7,1,0.007782101167315175,137,95.0,0.0,49,0
7,1,0.0012287528158918697,126,20.0,0.0,50,0
7,1,0.0010239606799098914,78,20.0,0.0,36,0
7,1,0.0030718820397296746,126,35.0,0.0,36,0
7,1,0.002662297767765718,101,43.0,0.0,36,0
7,1,0.00593897194347737,56,20.0,0.0,62,0
7,1,0.0036862584476756092,87,47.0,0.0,36,0
7,1,0.0028670899037476962,26,29.0,0.0,36,0
7,1,0.008396477575261109,56,20.0,0.0,46,0
7,1,0.0043006348556215435,78,20.0,0.0,46,0
7,1,0.0040958427196395655,52,30.0,0.0,36,0
7,1,0.039115297972557854,78,20.0,0.0,46,0
7,1,0.021912758550071677,62,44.0,0.0,25,0
7,1,0.005119803399549457,67,57.0,0.0,36,0
7,1,0.012082736022936719,135,37.0,0.0,36,0
7,1,0.006348556215441327,123,46.0,0.0,36,0
7,10,0.0006143764079459349,55,10.0,0.0,36,0
7,10,0.003481466311693631,87,16.0,0.0,36,0
7,10,0.0036862584476756092,62,28.0,0.0,65,0
7,10,0.037272168748720046,101,21.0,0.0,36,0
7,10,0.018840876510342,52,37.0,0.0,36,0
7,10,0.01904566864632398,101,18.0,0.0,36,0
7,10,0.0008191685439279131,116,14.0,0.0,31,0
7,10,0.0038910505836575876,126,19.0,0.0,36,0
7,10,0.0024575056317837395,101,37.0,0.0,36,0
7,10,0.002662297767765718,126,10.0,0.0,64,0
7,10,0.057546590210935895,88,80.0,0.0,36,0
7,10,0.007782101167315175,123,16.0,0.0,20,0
7,10,0.0028670899037476962,137,39.0,0.0,32,0
7,10,0.0040958427196395655,141,14.0,0.0,36,0
7,10,0.0016383370878558263,55,25.0,0.0,43,0
7,10,0.0040958427196395655,126,10.0,0.0,36,0
7,10,0.0008191685439279131,52,10.0,0.0,36,0
7,10,0.008396477575261109,116,68.0,0.0,36,0
7,10,0.0012287528158918697,137,17.0,0.0,35,0
7,10,0.008191685439279131,67,0.0,0.0,36,0
7,10,0.0024575056317837395,67,23.0,0.0,36,0
7,10,0.019250460782305957,92,80.0,0.0,36,0
7,10,0.004915011263567479,28,80.0,0.0,24,0
7,10,0.0024575056317837395,126,10.0,0.0,30,0
7,10,0.013516280974810566,78,10.0,0.0,61,0
7,10,0.0018431292238378044,78,15.0,0.0,36,0
7,10,0.0020479213598197828,141,0.0,0.0,36,0
7,10,0.007986893303297153,126,30.0,0.0,43,0
7,10,0.0008191685439279131,67,16.0,0.0,36,0
7,10,0.006758140487405284,67,58.0,0.0,29,0
7,10,0.008806061847225065,62,20.0,0.0,40,0
7,10,0.0016383370878558263,78,10.0,0.0,29,0
7,10,0.0020479213598197828,56,17.0,0.0,43,0
7,10,0.001433544951873848,56,37.0,0.0,21,0
7,10,0.02621339340569322,26,27.0,0.0,36,0
7,10,0.0024575056317837395,87,51.0,0.0,36,0
7,10,0.006348556215441327,101,13.0,0.0,21,0
7,0,0.01064919107106287,4,24.0,0.0,36,0
7,0,0.0006143764079459349,141,20.0,0.0,36,0
7,0,0.0008191685439279131,26,26.0,0.0,36,0
7,0,0.0006143764079459349,116,86.0,0.0,36,0
7,0,0.0020479213598197828,92,28.0,0.0,36,0
7,0,0.0043006348556215435,78,20.0,0.0,62,0
7,0,0.005324595535531436,67,90.0,0.0,36,0
12,25,0.0012287528158918697,19,15.0,6.0,44,0
13,22,0.011673151750972761,116,21.35,5.98,48,0
13,22,0.003481466311693631,116,6.5,1.82,48,0
9,8,0.009625230391152978,4,26.0,9.1,31,0
9,8,0.037476960884702024,56,30.0,10.5,48,0
9,8,0.001433544951873848,56,22.0,7.7,29,0
9,8,0.004915011263567479,126,18.0,6.3,66,0
9,8,0.015973786606594306,4,35.0,12.25,57,0
9,8,0.008806061847225065,26,44.0,15.4,37,0
9,8,0.009215646119189022,126,22.0,7.7,34,0
9,8,0.001433544951873848,26,22.0,7.7,41,0
1,2,0.011877943886954739,101,75.96,26.59,48,0
1,2,0.0010239606799098914,116,12.5,4.38,48,0
1,2,0.0010239606799098914,78,4.99,1.75,48,0
2,9,0.004505426991603522,116,47.0,11.75,30,0
2,9,0.006348556215441327,116,27.0,6.75,30,0
